114.98,128.75,71.89,177.11,104.33,114.98
212.31,114.98,114.98,151.44,115.11,155.41
151.02,108.87,114.98,173.37,125.44,162.56
114.98,114.98,114.98,92.82,78.81,131.89
75.11,96.02,184.72,124.46,151.87,114.98
114.98,138.98,98.59,113.69,87.16,104.42
98.76,100.37,104.52,80.92,141.51,293.2
114.98,114.98,114.98,123.18,96.39,133.0
208.84,114.98,149.16,102.28,114.98,114.98
23.1,114.98,114.98,114.98,114.98,112.05
200.01,140.15,86.62,132.95,49.91,114.98
97.57,107.16,114.98,223.53,142.3,79.86
114.98,96.6,80.04,293.32,152.38,67.21
114.98,114.98,114.98,114.98,39.99,127.53
67.84,108.21,117.78,100.67,104.31,95.01
114.98,114.98,101.25,96.66,108.07,114.98
110.57,114.98,95.0,84.92,68.34,84.78
126.9,114.98,97.99,114.98,82.39,114.98
112.75,88.58,93.4,191.03,114.98,114.98
105.0,174.95,114.98,151.6,108.1,60.29
115.0,55.68,120.76,115.93,53.89,106.84
84.71,114.98,216.63,218.47,185.91,114.98
114.98,114.98,125.05,114.98,114.98,114.98
154.85,114.98,114.98,138.18,80.52,71.02
149.37,114.98,94.39,96.58,114.98,118.89
141.84,113.7,133.81,114.98,114.98,114.98
110.7,114.98,114.98,120.58,114.98,114.98
96.61,114.98,104.37,114.98,128.97,114.98
114.98,114.98,114.98,114.98,82.22,114.98
103.63,114.98,194.82,114.98,114.98,113.65
114.98,104.58,114.98,111.67,114.98,182.07
114.98,114.98,114.98,114.98,114.98,75.67
133.55,114.98,80.12,114.98,114.98,114.98
220.24,114.98,98.27,114.98,114.98,82.38
114.98,114.98,114.98,154.62,114.98,115.9
114.98,114.98,114.98,110.02,114.98,114.98
80.17,114.98,83.15,114.98,114.98,114.98
134.24,114.98,135.27,115.59,122.64,114.98
114.98,114.98,114.98,114.98,114.98,114.98
114.98,123.79,154.26,114.98,114.98,132.37
137.33,114.98,85.26,114.98,114.98,114.98
114.98,114.98,114.98,192.92,125.68,114.98
114.98,114.98,114.98,114.98,114.98,114.98
114.98,114.98,114.98,133.71,114.98,114.98
92.68,111.21,102.19,113.59,122.08,98.39
422.25,135.55,120.38,154.37,114.98,114.98
184.1,114.69,103.88,86.67,142.37,114.98
104.87,93.6,88.32,114.98,116.86,125.19
86.96,75.32,115.1,97.38,93.48,83.84
114.98,76.85,76.77,114.98,109.13,114.98
101.48,114.98,114.98,117.06,236.39,106.54
103.01,127.22,114.98,100.98,404.44,122.06
90.37,111.37,131.19,135.57,97.81,129.31
116.19,134.4,120.51,92.62,163.72,135.32
114.98,120.88,148.43,140.93,121.3,114.93
125.6,198.19,114.33,125.1,164.68,89.75
133.83,105.39,118.01,122.95,104.15,98.89
115.85,129.47,163.87,92.58,161.0,110.98
142.75,133.16,182.98,168.19,103.07,140.79
141.13,134.0,108.18,127.17,114.98,134.04
178.51,126.9,125.87,138.22,114.85,121.82
113.7,113.53,137.17,111.39,123.66,77.4
123.73,146.15,128.91,125.58,114.98,125.12
147.74,179.67,164.12,130.92,117.32,127.43
114.98,94.63,98.19,114.98,95.51,158.7
123.65,128.09,133.18,95.44,119.81,138.75
134.99,110.46,155.03,124.29,130.73,114.98
129.64,155.65,124.34,123.53,101.7,143.46
128.1,110.82,93.78,122.01,124.25,119.94
155.16,176.43,114.98,115.39,114.98,165.4
134.93,184.39,90.89,215.11,169.22,135.38
99.48,100.91,136.0,115.39,114.98,127.27
119.83,141.94,100.23,121.73,87.43,130.38
137.96,136.92,136.4,129.36,111.08,117.02
135.34,103.02,105.58,105.89,123.62,124.83
104.74,118.06,92.98,132.11,117.56,322.26
83.05,94.72,111.27,143.49,132.06,127.22
79.33,122.98,124.08,113.54,157.46,106.4
103.06,94.97,88.77,113.78,127.37,131.79
103.06,101.16,103.59,101.03,102.44,120.66
120.16,137.45,135.08,137.65,86.96,107.42
91.34,83.81,101.6,109.67,106.6,97.46
157.97,145.6,114.98,135.38,118.21,230.32
98.6,89.38,100.68,157.29,105.35,127.01
86.56,127.1,87.59,133.28,120.29,93.94
117.33,184.11,106.13,101.15,132.43,114.98
117.33,119.43,110.98,114.98,109.39,146.4
121.88,111.75,120.14,114.98,108.19,115.97
150.79,139.7,133.95,134.12,126.34,129.23
112.75,102.82,138.24,134.91,121.36,97.2
108.63,115.41,114.59,64.78,108.23,122.42
